simulation_number,param_value,max_av_state,max_urge_escape,max_suicidal_thoughts,max_escape_behaviors,max_ext_change,max_int_change,max_pb
0,0.0,0.6805240140693152,0.24936231355731528,0.37448479517550237,0.3055965299482261,0.4354447183715249,0.5072493421354108,0.05
1,0.0,0.6549369434681349,0.2388544048434554,0.16749838054463237,0.2863055333385677,0.4289532691697353,0.49976593197720165,0.05
2,0.0,0.6524361882357049,0.2394708493646501,0.1925109073053816,0.2897427915282754,0.4271135401831826,0.4971886741838616,0.05
3,0.0,0.6526856391640786,0.24324466779847445,0.2673773148554259,0.2972632409538972,0.41634182303434486,0.48310308277357056,0.05
4,0.0,0.653821177624644,0.22724216951343312,0.04243786576909473,0.2444865966632048,0.4255358317399663,0.4947303669551237,0.05
5,0.0,0.6442055278760793,0.22221928229642363,0.028007692713555597,0.23214478975634936,0.4361775327171671,0.508240250620256,0.05
6,0.0,0.639960588990909,0.23819142190108605,0.19076440332426015,0.28831652174960454,0.41823758456679844,0.48549809165035046,0.05
7,0.0,0.6730043574034925,0.2480701291485752,0.2541749129993207,0.2995452007704626,0.4289333879002783,0.4999463561490538,0.05
8,0.0,0.6550426902030901,0.2452024059592565,0.26587550023239886,0.2979981191395755,0.41718148408182315,0.4845668659009717,0.05
9,0.0,0.6320801215488099,0.21824381930133413,0.017683747765139406,0.214807482079928,0.4257752521441431,0.49487986809004414,0.05
0,0.2222222222222222,0.6751156373181559,0.25029060857880775,0.39654089933977427,0.30678153818829906,0.44538590886793483,0.5286917980849062,0.14338751989042156
1,0.2222222222222222,0.6793301629855409,0.2472497897914489,0.2132623367829959,0.28931007312639073,0.43728514556113096,0.5173485006994831,0.07512487930419409
2,0.2222222222222222,0.6530862122851421,0.23928136470676367,0.18929001196295112,0.2893618544331395,0.44604844138904925,0.5289707262323147,0.05
3,0.2222222222222222,0.6602697075702463,0.2414220038597252,0.2344920407720438,0.29431390927520834,0.4438568413747542,0.5255022237736046,0.05
4,0.2222222222222222,0.6404750726203869,0.2220865070718866,0.024844591443350106,0.2267187904705368,0.4328534254922485,0.5040060666348495,0.05
5,0.2222222222222222,0.6321521164685551,0.21868417442752713,0.02050222392218054,0.22054198935415806,0.45028820909112915,0.5346798854733198,0.3330776320337044
6,0.2222222222222222,0.6483092462291372,0.23746401379473467,0.1808786403487893,0.28699125107544066,0.43654977362770503,0.5157998485303291,0.05
7,0.2222222222222222,0.678869904604857,0.24640001515855997,0.2263847899667529,0.29692168064361935,0.43875952856471834,0.5124172555562987,0.05
8,0.2222222222222222,0.6617924829093634,0.24366094193130963,0.23883098779557105,0.29557257137256315,0.4322232357254562,0.5268626029853182,0.05
9,0.2222222222222222,0.6071730325969993,0.20651596203447536,0.006825338327835451,0.2,0.44025104657308395,0.5339417027819168,0.05
0,0.4444444444444444,0.6042601685389586,0.21727382362529285,0.02141661307198958,0.22403224777126035,0.42572393959408406,0.4958084740201614,0.6043265143879505
1,0.4444444444444444,0.5238308241201346,0.1754282783138673,0.0004137003549718528,0.2,0.4278469916628306,0.4988159957080527,0.5700655116079655
2,0.4444444444444444,0.5329917602362324,0.17395604701596906,0.00030052335506299146,0.2,0.4439746535205843,0.5198218842987228,0.5051533123328114
3,0.4444444444444444,0.5445075707059339,0.18767639578295237,0.0014713723215598828,0.2,0.430756957555492,0.5027525202132196,0.5652091303192375
4,0.4444444444444444,0.38633082730315677,0.1058987361022486,3.5131936891349066e-07,0.2,0.4365682840726081,0.5096052890624178,0.6455437847350953
5,0.4444444444444444,0.4104671813888561,0.11710272770552665,1.0220941030629322e-06,0.2,0.4312819178105918,0.502414262937203,0.6536046224371989
6,0.4444444444444444,0.5194633649108311,0.17464764804034855,0.00040061653436002245,0.2,0.4293054044281781,0.49982087723651686,0.5929350046187141
7,0.4444444444444444,0.5574597482492623,0.191017533506442,0.001159756192527481,0.2,0.42757918132952555,0.49918686180266253,0.5520979654843393
8,0.4444444444444444,0.5516127465719965,0.18233182998726563,0.0007626383530478502,0.2,0.4419002409578891,0.5194482257319893,0.6409230560532626
9,0.4444444444444444,0.352526743308827,0.09237866310150562,9.968787488558057e-08,0.2,0.42221500794301275,0.49208872134256887,0.7119190422166083
0,0.6666666666666666,0.6236348693065346,0.22274335067974269,0.03539545884920965,0.24305017816376245,0.4341953326344535,0.5059759671839412,1.0184699965744008
1,0.6666666666666666,0.560997791833219,0.1937085485723327,0.0021458209785973977,0.2,0.4256166782299468,0.4962595733081604,1.0612586202725622
2,0.6666666666666666,0.5592505866283911,0.19243591355055278,0.0018669809411581406,0.2,0.43256264657567944,0.5050462953239903,0.9887158585118296
3,0.6666666666666666,0.5746526042139646,0.20095300998224672,0.005241519367777338,0.2,0.43005015111953265,0.5011633789142373,1.0264615041936316
4,0.6666666666666666,0.42360872578367365,0.12642980774166857,3.396215797070022e-06,0.2,0.4312483757534285,0.5028142853711096,1.010119903168505
5,0.6666666666666666,0.45975090554977077,0.14408200066167628,1.4612290381444969e-05,0.2,0.4252011272392012,0.4944339622683988,1.0207466304787145
6,0.6666666666666666,0.5471282394051559,0.1836139087397684,0.0009789666953861134,0.2,0.4397523743386283,0.5137259246810661,0.9590934375449577
7,0.6666666666666666,0.5789321664026865,0.20437588539509202,0.004618485668338227,0.2,0.4222562701036787,0.49205792701071144,1.0864548280182873
8,0.6666666666666666,0.5893766756847393,0.21084363356336475,0.011048990981646375,0.2,0.42123699859287683,0.4906046473069882,1.0793757415795169
9,0.6666666666666666,0.4028535155103114,0.11252464352360224,6.803647230131296e-07,0.2,0.4354698406994487,0.5082200894621233,1.0205982197554007
