simulation_number,param_value,max_av_state,max_urge_escape,max_suicidal_thoughts,max_escape_behaviors,max_ext_change,max_int_change,max_pb
0,0.1,0.5786050662412704,0.06030639072387808,4.017858926997027e-09,0.2,0.665012044574816,0.7997229474250108,0.49616763974475286
1,0.1,0.44507255976219995,0.0,1.3887943864771065e-11,0.2,0.6399667201674881,0.7677483388008821,0.3264185006218717
2,0.1,0.4747900197331922,0.006947972760325112,2.0084423297032878e-11,0.2,0.6540804078802188,0.7863847377806892,0.31420944923758487
3,0.1,0.49752010794500157,0.017403587132059556,5.700506815751378e-11,0.2,0.6604643082199686,0.7939035947095067,0.44580561351939774
4,0.1,0.3696287927634068,0.0,1.3887943864771065e-11,0.2,0.5252826485321186,0.6267548868209027,0.5271497351310693
5,0.1,0.36627670148337016,0.0,1.3887943864771065e-11,0.2,0.5208286125793028,0.6344025754309269,0.6206152794449632
6,0.1,0.43489266874831234,0.0,1.3887943864771065e-11,0.2,0.6376113494553036,0.7645225839423181,0.5159252678207009
7,0.1,0.48917888693926537,0.01011604615687689,2.2638472389148695e-11,0.2,0.6391505817914959,0.7697860722111356,0.3841174630516701
8,0.1,0.4947624613704932,0.01868659872018728,6.73892570054478e-11,0.2,0.6608656775722404,0.7935239654542531,0.5877107145479946
9,0.1,0.323195384961272,0.0,1.3887943864771065e-11,0.2,0.5007690994383664,0.5953167332852808,0.5856736080939458
0,0.2,0.5949069713993149,0.145677167356815,2.0435919482488785e-05,0.2,0.554451149378861,0.6584263029641813,0.3659915615433214
1,0.2,0.45668696868492636,0.07650490385429509,1.8747999968320253e-08,0.2,0.5556642509145218,0.6611700642734238,0.19711050514889114
2,0.2,0.49690741717303927,0.10094682735011701,2.042986933592602e-07,0.2,0.5436215068890905,0.6453225928085046,0.16082587883226557
3,0.2,0.5171846397154735,0.10481783558271067,3.2962299872648696e-07,0.2,0.5585860301221527,0.663460033269278,0.3150123262977047
4,0.2,0.362091346177469,0.03732833236196964,3.605593788396544e-10,0.2,0.5121620078261632,0.6091132996870045,0.47800028174426373
5,0.2,0.3551714176015197,0.029547338635331877,1.468247068017364e-10,0.2,0.5011468297220071,0.60342231171545,0.5027169765292058
6,0.2,0.6993956710661405,0.19121702275144273,0.0016580406723927374,0.2,0.5768059807720881,0.6913496017978711,0.4421407932451827
7,0.2,0.5104920387074695,0.10930264507947199,3.369182645492361e-07,0.2,0.54030474870643,0.6419365397761982,0.28161918467572444
8,0.2,0.5127325666115861,0.09917519906255118,2.0567850960646518e-07,0.2,0.5627878901926909,0.668946959335995,0.4807717862027526
9,0.2,0.3159962121544525,0.008057655474046455,2.014615022435741e-11,0.2,0.4736598938957627,0.5622912107156088,0.5116755497246605
0,0.30000000000000004,0.5904902937094179,0.20958415399529814,0.01037553048795217,0.2,0.42743147455706093,0.497369611344979,0.35393757425512495
1,0.30000000000000004,0.664334648658182,0.2357829496196174,0.11183271599357467,0.27648420771109156,0.4618666574964233,0.5497544236462125,0.21306669240932832
2,0.30000000000000004,0.670144766864732,0.23978547555925706,0.10854021024671572,0.2694678224773634,0.4451053657943273,0.5266660602966898,0.25727267545996907
3,0.30000000000000004,0.7057942445213171,0.24915182662320884,0.20757122051674437,0.2924933299114858,0.4697363265811678,0.5608326778938373,0.3308232140951656
4,0.30000000000000004,0.6014837329242281,0.20841551796587535,0.01154642818821671,0.2,0.4655141082537941,0.555822365202544,0.4171347216654811
5,0.30000000000000004,0.5896672348996622,0.19957739359812265,0.004894065659554289,0.2,0.4651542093313214,0.5526401365458431,0.44777216466995184
6,0.30000000000000004,0.6980216091980814,0.24517964044505408,0.1797415620765832,0.28476792141580515,0.46592877146864375,0.5526182019112909,0.3927301203983674
7,0.30000000000000004,0.6720002712824976,0.23617070879854693,0.16989431115005224,0.2850032836495727,0.4629819518240866,0.5510159549249096,0.20054868705099696
8,0.30000000000000004,0.717797165195462,0.2609153653839642,0.3237929231075137,0.2975905326224528,0.4480439547168032,0.5295032898538016,0.48636754766149315
9,0.30000000000000004,0.31840221762690224,0.07239273714174521,1.0731912509785722e-08,0.2,0.41994000996743047,0.4917486809121334,0.44927779602301804
0,0.4,0.5774606097880592,0.23502134601286787,0.10188397072543014,0.27675632532611444,0.35184563883798675,0.40221269200362897,0.30585179463262174
1,0.4,0.5246648221559623,0.20564736754383067,0.007203652575481434,0.2,0.3517158951386254,0.40184693953950923,0.22041119316106167
2,0.4,0.5121480303627394,0.20471043901041552,0.006417437332909054,0.2,0.3444183446659843,0.3930587217224825,0.24141787714886417
3,0.4,0.5341702983391006,0.2150651590660178,0.020450520414215977,0.21931178980021687,0.3492215174846282,0.3986529462191568,0.19576487179463442
4,0.4,0.3789224618756801,0.13863697612423526,9.20804410826343e-06,0.2,0.34809354822926425,0.397075930194619,0.35017781855918256
5,0.4,0.38341345689964956,0.13706842326537472,8.546891526409289e-06,0.2,0.35153059158581984,0.4016360333649899,0.38309242117886083
6,0.4,0.5180379562287831,0.2066968465174592,0.009592869120074593,0.2,0.3481941705634084,0.39688932208038713,0.26006003390889254
7,0.4,0.542249568327845,0.2134286109153178,0.010641601972560805,0.2,0.35295545366221087,0.40435985969365507,0.18660868313732518
