simulation_number,param_value,max_av_state,max_urge_escape,max_suicidal_thoughts,max_escape_behaviors,max_ext_change,max_int_change,max_pb
0,0.0,0.619335784853013,0.21872603728611129,0.03170189653047074,0.23555184167898507,0.4595831856474565,0.5458657733560793,0.4930616787203758
1,0.0,0.7040408818848787,0.25126406103198473,0.2215900087264797,0.28657095195247123,0.46381248534173364,0.5522691892608553,0.24978169877929018
2,0.0,0.6815007287681443,0.24809932013662164,0.20536534682844598,0.28850260181592985,0.4558868267631108,0.541455922848932,0.2416010112157409
3,0.0,0.5955915161958216,0.2087638207218531,0.007309090665254516,0.2,0.45287908355196915,0.5363735418073425,0.4684558035360978
4,0.0,0.6060221218652034,0.20890038806520228,0.008338626965467855,0.2,0.46157608410592016,0.548208547601444,0.578638789424038
5,0.0,0.3544988870043108,0.09063715715878248,7.323574977960597e-08,0.2,0.42489001987145614,0.49512492614350745,0.5730680912205175
6,0.0,0.7072357512369435,0.25002376352969347,0.1971546040574053,0.28287849102701246,0.4549433576918442,0.5387559438152719,0.5028360270108254
7,0.0,0.6715656612042084,0.23589026085058168,0.16364658956072065,0.2840972294929191,0.46149873978673217,0.5513487371029152,0.20992216746560455
8,0.0,0.7227627256401257,0.25565992785148944,0.265418208936259,0.2918859195084181,0.4591763540832883,0.5512828013450014,0.5390657214815187
9,0.0,0.30430558888051007,0.06772917220194327,6.846580697369725e-09,0.2,0.4146021142246258,0.48517789399809663,0.6131189205184114
0,0.2222222222222222,0.5892752220877655,0.21059778812736032,0.011462989179510044,0.2,0.42391246439823616,0.49304569383179836,0.4097868246444801
1,0.2222222222222222,0.7035665085172977,0.24929786968327797,0.2035756997883313,0.2848068785400474,0.463392995209953,0.5513410532848401,0.23621591827518354
2,0.2222222222222222,0.6971056824450318,0.25091719821549213,0.25512788336299463,0.29380682296309185,0.4615323502985714,0.5477581736957999,0.23712089601487615
3,0.2222222222222222,0.6965921331480681,0.24784210758959685,0.2186684041943995,0.2926250649522433,0.46739997754681717,0.5563519149983626,0.3574423058403391
4,0.2222222222222222,0.6016463196239438,0.20551583802168433,0.006955584899418198,0.2,0.4615445014578332,0.5472030771781229,0.4769706085481545
5,0.2222222222222222,0.5948841448470382,0.2030599859601675,0.004798626626818197,0.2,0.46490593177560624,0.5547726804309528,0.5146063580336471
6,0.2222222222222222,0.71079535583119,0.25560139212916405,0.26524151747361013,0.29148502911878305,0.45284812316551115,0.5358666856136626,0.28031840427281046
7,0.2222222222222222,0.6998236514959868,0.25101245534610883,0.24541933406393573,0.29142351564495467,0.45848645111686154,0.5463434542550726,0.22188360834726115
8,0.2222222222222222,0.7107145940187768,0.25297288359564735,0.25106669340751614,0.29102091029381344,0.4594176395797441,0.5484749191157161,0.4917456358317775
9,0.2222222222222222,0.31525394144119795,0.0743416364728511,1.3291920784899357e-08,0.2,0.41201681261409034,0.4821575927282455,0.536189889478751
0,0.4444444444444444,0.6119266518993791,0.21621375210383711,0.023723716224507644,0.22587319835403574,0.45963827038898525,0.5456417752004461,0.3144272679788489
1,0.4444444444444444,0.6879374956494695,0.24898791405855364,0.1965161032805402,0.2837663378448308,0.4512406941711409,0.535559486717527,0.25078359205185435
2,0.4444444444444444,0.690027753740763,0.242266475248468,0.13396671255554063,0.2767016525536047,0.46824659806971825,0.5563613087833377,0.20159540473885612
3,0.4444444444444444,0.7051985322691446,0.2523174423709243,0.23701121907880318,0.288508349096092,0.4586400071177552,0.5453559591557238,0.236031011152331
4,0.4444444444444444,0.6101428755527603,0.2094080410729685,0.008686373476134716,0.2,0.45934214846821453,0.5438514819910517,0.3606511220084349
5,0.4444444444444444,0.5865004203087695,0.19973360949235025,0.004624693209250791,0.2,0.46364570992121185,0.5513454640537696,0.422508099848982
6,0.4444444444444444,0.6863608549315616,0.24433449141650596,0.1608154527157015,0.28140504578107883,0.44755738613913215,0.5288358841847827,0.32889459948525906
7,0.4444444444444444,0.6978913662478851,0.2540373639405205,0.27396343057649825,0.2940383824696723,0.4484334380196208,0.5301308290961925,0.24085705309944833
8,0.4444444444444444,0.7117876745414556,0.254312322543959,0.2844836325575954,0.2952254569973476,0.4561342373603888,0.5434857708097831,0.4007976783272412
9,0.4444444444444444,0.32630845439878287,0.07882116918754349,2.510167049990467e-08,0.2,0.41612546339464,0.48730202445793763,0.4124974184618469
0,0.6666666666666666,0.5942503978285533,0.2115914437638482,0.012710117821943177,0.20241057978420438,0.42700474901340196,0.4968536763830591,0.26950834021378484
1,0.6666666666666666,0.5140284736219926,0.1717968834327076,0.0002790364764001374,0.2,0.4236655796464046,0.4937834200066609,0.266409014422911
2,0.6666666666666666,0.6986991580635046,0.248120281852599,0.2340331778806598,0.29198478790679827,0.46041700645843325,0.5459026834744093,0.2220827328828983
3,0.6666666666666666,0.7044034553304495,0.2570027282464623,0.3042436369877333,0.29822101423913117,0.4517154232782334,0.5376067177474082,0.28106589753796973
4,0.6666666666666666,0.6040202023589987,0.20814804842099227,0.008068451083975536,0.2,0.46548707004390666,0.5550988829641144,0.3155717416234168
5,0.6666666666666666,0.4133089671610487,0.12287568341845917,1.7186247491584856e-06,0.2,0.42385046730269804,0.4939932559646721,0.3558444679438821
6,0.6666666666666666,0.7098429461719592,0.25116617408837844,0.22240935468481324,0.28761738500718065,0.4616099545654394,0.5486170566144272,0.2053367961376524
7,0.6666666666666666,0.6829551125531027,0.2433208001986429,0.16816076263090257,0.28475578723063616,0.46127292630405287,0.546689776396699,0.1929614967245524
8,0.6666666666666666,0.7226940500201563,0.25335754248527237,0.2542755758023635,0.29131282039513096,0.465120109786702,0.5530697687528812,0.21632862438753678
9,0.6666666666666666,0.3518302884934086,0.09246981407835911,8.962778917058436e-08,0.2,0.4160351987605326,0.48772899582472196,0.36896343861429354
0,0.8888888888888888,0.612834101462652,0.21427167469177527,0.017069053852111705,0.2151249846306079,0.4595188082170197,0.5452327970377308,0.23765847859296724
1,0.8888888888888888,0.7010055916410243,0.25370898181768037,0.2502115716549532,0.2913122203416523,0.4576958452446133,0.5431998222923788,0.23573802351543907
2,0.8888888888888888,0.7027402957169847,0.24643606767137644,0.19050131886482558,0.28640185593057327,0.46775253069244144,0.5549643703930284,0.19446514563196565
3,0.8888888888888888,0.5970008940432946,0.207597288768655,0.01061600149532142,0.2,0.45537078539218756,0.5412838852539306,0.2533519288111483
4,0.8888888888888888,0.6139520708083774,0.2110636794291073,0.010187056525298707,0.2,0.4613763135867686,0.5477100868476076,0.29384994917058577
5,0.8888888888888888,0.5953002127606508,0.2012584818606868,0.005891792808827317,0.2,0.467260254698739,0.5568015241325646,0.28939615084301906
6,0.8888888888888888,0.6768828207217501,0.24496107022202898,0.1749681276909514,0.2852606676176794,0.45985548580798186,0.5468719121369481,0.19350251277688477
7,0.8888888888888888,0.6889337478716512,0.2481017725352082,0.24520353308008894,0.2954269980064422,0.4671283997620562,0.5551012839191211,0.17130030091980034
8,0.8888888888888888,0.6007826139801146,0.2140905265657393,0.014243843359993383,0.20862325830400213,0.44899874540949786,0.5325972347211563,0.3396389051063506
9,0.8888888888888888,0.376447007381772,0.10424596507485549,2.6919584262404587e-07,0.2,0.4165163012700651,0.4885864757134365,0.3361633302790801
0,1.1111111111111112,0.597706556916191,0.2113389703971558,0.012652235826245624,0.20146159234493702,0.43125300148277657,0.5022524020397292,0.24131575032734526
1,1.1111111111111112,0.7134747216762001,0.25389128175580533,0.24204335123526213,0.2885907299811842,0.4590783851633259,0.5445389066747223,0.2292614197836165
2,1.1111111111111112,0.697903974817615,0.2474272988021757,0.22931503158453315,0.2918015509896277,0.46083815583077803,0.5477511511018007,0.20404878282647876
3,1.1111111111111112,0.7109788362899171,0.25274178003875564,0.24504024337867653,0.2909513288752574,0.4607438767909041,0.5476861896711669,0.18864664205622536
4,1.1111111111111112,0.4072759658691661,0.11915432618365802,1.5968876518773763e-06,0.2,0.4319206902812943,0.5042793091405816,0.2864440639610589
5,1.1111111111111112,0.44846730963841197,0.13792466927416602,7.185813021877248e-06,0.2,0.4280217875519774,0.49963915955793353,0.29437386084460876
6,1.1111111111111112,0.676084809986459,0.24237534672815358,0.15768004567998395,0.2834533362739779,0.4606195716172165,0.5483016351395102,0.19092319449361292
7,1.1111111111111112,0.7083130693499484,0.25793677425005207,0.29480015258175934,0.2957909017642453,0.4467936690755043,0.5281158436677053,0.19147823891958227
8,1.1111111111111112,0.7287179637122858,0.2611831502137506,0.3332394519475836,0.29789680376827815,0.45073745775444823,0.53629359277666,0.30011923104252364
9,1.1111111111111112,0.39546921412724984,0.11268095991921424,5.885036627600404e-07,0.2,0.42131587007107374,0.4915659027629139,0.30810086876448506
0,1.3333333333333333,0.6328758169211708,0.22296209408715867,0.03206205377859665,0.23859867325959344,0.4543946977909843,0.5380251050919832,0.2382535107320368
1,1.3333333333333333,0.6914698362087872,0.2422759662521008,0.1294173126482175,0.2783203766019599,0.462774702713796,0.5482209874690651,0.20252544575419346
2,1.3333333333333333,0.6222639126190386,0.2274357280758445,0.06779813877126654,0.2620654870817154,0.4458460416018379,0.5265256448471135,0.236507913301072
3,1.3333333333333333,0.6964432170771641,0.25618502735784576,0.30965252975726043,0.29852323311121287,0.45217826358742386,0.536259619726121,0.2328048742510405
4,1.3333333333333333,0.5968139534956186,0.20590712834900318,0.0058423212992395985,0.2,0.4492527225864733,0.5308404898122894,0.26850500944142586
5,1.3333333333333333,0.591690610530326,0.20350823690764724,0.005849523990104951,0.2,0.4609147427186926,0.5468744707432142,0.25842887927213093
6,1.3333333333333333,0.6841639470754928,0.2400810302555662,0.15803535800388102,0.28277304075340615,0.4603210846004762,0.5472674754936918,0.17298136236653977
7,1.3333333333333333,0.6705579038919315,0.24179440839934813,0.17794632292915624,0.2860772339816381,0.4524978838033328,0.5356834623792045,0.1800192253943436
8,1.3333333333333333,0.717157890927564,0.2597383445144673,0.31231458385369903,0.29695049420730607,0.45088626837206497,0.5341968722914768,0.2873874242879211
9,1.3333333333333333,0.588622585778214,0.1988384749709824,0.0037762529616858316,0.2,0.4536934002350853,0.5408975894230884,0.27792162618961186
0,1.5555555555555554,0.5965732098659609,0.20891650611370574,0.011404587952221702,0.2,0.45622720138595063,0.5426208266442382,0.22368846630359562
1,1.5555555555555554,0.6988037281343843,0.2523158778460158,0.2390439452325679,0.29088887295889004,0.45330820236252684,0.5368061252542023,0.22401355468897166
2,1.5555555555555554,0.7034819985627744,0.24676079246843316,0.17937559856714913,0.28345552203898405,0.4625159505809817,0.5491450309903133,0.19109400064998128
3,1.5555555555555554,0.7038421220082751,0.25279356423436367,0.23692775085207288,0.28863706235892206,0.45130239757499285,0.5358410381056444,0.2225914227317608
4,1.5555555555555554,0.4315438889325938,0.1320855274841434,4.65075318595515e-06,0.2,0.4275966347763919,0.49926414340697045,0.2576312832845886
5,1.5555555555555554,0.5924509481249124,0.2019944162788475,0.005126640712314179,0.2,0.4620263937251004,0.5482750089116065,0.24815868257012197
6,1.5555555555555554,0.6954070459891422,0.24783446773636805,0.19826213665561498,0.2860185362932923,0.4579906773707462,0.5424785349106951,0.20291222195005829
7,1.5555555555555554,0.6904212894522089,0.24500551933299805,0.17108058881185856,0.2834733769148476,0.4577878958253899,0.5421780733282765,0.16128408689208823
8,1.5555555555555554,0.7228002418200091,0.25999540684063693,0.32565842220624025,0.29783746504312164,0.4506757513409138,0.5360355428484611,0.2684472677370009
9,1.5555555555555554,0.577983331328365,0.19701352568245886,0.002570040033532258,0.2,0.4533639444972079,0.5378795115685922,0.2643895372981946
0,1.7777777777777777,0.631392687301039,0.2232876295630604,0.02964592276397042,0.23505601532963127,0.45378050876769094,0.5370773237059081,0.22916033152261228
1,1.7777777777777777,0.71264695804062,0.2528241358087512,0.23141375346465495,0.2878434103852604,0.45493963726709036,0.5382198005814719,0.20630487129997177
2,1.7777777777777777,0.6367362071860925,0.22639515586073142,0.024609666447582088,0.22779126032527364,0.44513178768080686,0.5247404482815944,0.22572789849399313
3,1.7777777777777777,0.7163418989917277,0.2593030708314622,0.34013675406435157,0.3008939510909392,0.45665448826969723,0.5416299620016117,0.21266327361182602
4,1.7777777777777777,0.43300208381610955,0.1326366467774187,5.24570940841291e-06,0.2,0.4307058167434407,0.5033310811478079,0.246829730318742
5,1.7777777777777777,0.5905865594249183,0.20208897552408672,0.00519940766830249,0.2,0.46169809903944187,0.5476856695220965,0.23429714002115173
6,1.7777777777777777,0.6874697758227479,0.2407796705991013,0.13950977835991135,0.2796363375207427,0.45839388611859766,0.5432836474824859,0.20413652052711198
7,1.7777777777777777,0.6806900167410733,0.24401186968005942,0.19027910190737574,0.2877439359130993,0.45096853954974564,0.5337904938124395,0.21516728738055108
8,1.7777777777777777,0.7134540389771259,0.2539242552925695,0.24835586591148542,0.2916693440972223,0.4507902624627663,0.5394791137600317,0.21348342663941636
9,1.7777777777777777,0.442372307667986,0.13305846234831775,4.178221612863796e-06,0.2,0.42983646175796725,0.5032457957532084,0.25241281246396463
0,2.0,0.6045291751860215,0.21500791222659432,0.018286515119851875,0.21585724016160485,0.43124392841635256,0.5032800689826491,0.23155735867643185
1,2.0,0.6779910140963689,0.23986233151653077,0.1366220482769105,0.2797955623955314,0.4630576201010804,0.5482662484801987,0.18684888635095687
2,2.0,0.7054921278420311,0.2423907152781298,0.13318080017117476,0.27508391192793824,0.4554872390754834,0.5391829621778924,0.18533399264353104
3,2.0,0.7108052188745961,0.25309260460261274,0.2493001876918859,0.2914333223639373,0.459243073862038,0.5444686077275857,0.2111745676302184
4,2.0,0.6102683620317112,0.21363853455262308,0.01282034810224251,0.20598425326606606,0.4579457960770603,0.5425572766994984,0.2276826683911079
5,2.0,0.6024824435672796,0.20125877962836106,0.005920331176183328,0.2,0.4633887700319828,0.5499701097851648,0.22159683109355785
6,2.0,0.7030848756943421,0.25305914469743584,0.2574430659316534,0.2929190735467058,0.452934356370001,0.5358374322733143,0.2065104492401754
7,2.0,0.6656566765726413,0.23749122607007814,0.18824817160419421,0.2874736923123249,0.4481764073532662,0.5288866589075206,0.174451466256454
8,2.0,0.718760441487992,0.25981048480027424,0.3293907051568889,0.2986309018982189,0.44717699699966335,0.530683892975956,0.25060348479926975
9,2.0,0.5786713003620593,0.19669464163199976,0.0023536593811774387,0.2,0.4526492777558519,0.536825364647461,0.24339430191007064
